x,y,S34,Fe57,Co59,Ni60,As75,Se77,Au197,Bi209
0,11,2421.111032,16.43319973,0.126296535,0.644103472,3.816580614,4.808113358,0.00331303,0.006393085
4.044141852,11,2421.111032,38.08124102,0.126296535,0.644103472,14.29754776,4.808113358,0.00331303,0.006393085
8.088283704,11,2421.111032,3059.274621,112.7861788,10.29195807,29.91813486,4.808113358,0.00331303,26.38310397
12.13242556,11,58279.57554,42020.98065,1046.188505,50.77632212,101.7919497,29.71294251,0.223434894,59.43158879
16.17656741,11,235836.0125,197146.9585,6363.116915,180.1925075,148.6828197,29.71294251,0.335153459,70.22501793
20.22070926,11,386055.9017,319915.7352,10929.20851,380.7798734,178.3872334,38.59240709,0.335153459,81.89120873
24.26485111,11,421270.271,378556.1657,10929.20851,380.7798734,148.6828197,38.59240709,0.335153459,134.0024008
28.30899296,11,421270.271,378556.1657,9883.206247,328.9108475,142.4299624,38.59240709,0.223434894,144.5635091
32.35313481,11,413326.511,343568.034,9314.619181,314.2561691,134.6141095,47.47187167,0.223434894,221.6225101
36.39727667,11,413326.511,333360.5212,9314.619181,328.9108475,134.6141095,47.47187167,0.223434894,221.6225101
40.44141852,11,477508.3573,343568.034,12688.42597,348.0771898,179.9508537,38.59240709,0.11171633,95.1533904
44.48556037,11,477508.3573,411534.508,19528.78576,364.9912979,179.9508537,38.59240709,0.11171633,20.49998488
48.52970222,11,535486.9953,411534.508,19528.78576,539.9087148,148.6828197,56.3522242,0.00331303,3.438477649
52.57384407,11,535486.9953,428912.8839,15642.31312,1181.929692,145.5563286,56.3522242,0.11171633,1.002799209
56.61798593,11,520468.3546,511190.1738,14984.64219,2095.883073,108.0433078,109.6325635,0.11171633,0.573019442
60.66212778,11,519467.7517,511190.1738,9873.109823,2656.530764,86.16449152,38.59240709,0.11171633,0.573019442
64.70626963,11,519467.7517,460225.2435,9503.19012,2656.530764,86.16449152,38.59240709,0.335153459,0.42976716
68.75041148,11,519467.7517,458440.2479,9190.3881,2126.771899,86.16449152,38.59240709,0.335153459,0.42976716
72.79455333,11,544506.2216,460225.2435,6812.549465,1768.029852,68.97616141,38.59240709,0.335153459,0.143251136
76.83869519,11,529978.1803,458440.2479,4252.642785,1667.680271,68.97616141,38.59240709,0.223434894,0.143251136
80.88283704,11,529978.1803,412310.2275,2393.390395,1578.803134,68.97616141,29.71294251,0.00331303,0.143251136
84.92697889,11,480002.2258,412310.2275,1621.073366,1367.127465,58.03893952,29.71294251,0.00331303,0.143251136
88.97112074,11,480002.2258,431070.2997,1621.073366,1437.645038,58.03893952,29.71294251,0.223434894,1.432590435
93.01526259,11,486488.5638,467116.2019,3428.556968,1437.645038,65.85116948,65.23168878,0.335153459,1.432590435
97.05940444,11,487486.71,467116.2019,4404.423347,1616.397036,65.85116948,65.23168878,0.335153459,0.573019442
101.1035463,11,487486.71,472530.6812,4404.423347,1762.326009,65.85116948,74.11204131,0.223434894,0.42976716
105.1476881,11,487985.8119,460533.7607,3491.207106,1762.326009,58.03893952,47.47187167,0.00331303,0.286503418
109.19183,11,528976.8768,472530.6812,3491.207106,1869.604083,58.03893952,56.3522242,0.00331303,0.286503418
113.2359719,11,528976.8768,481272.7742,3725.808156,1869.604083,53.35182642,47.47187167,0.00331303,0.42976716
117.2801137,11,528976.8768,481272.7742,3725.808156,1869.604083,53.35182642,56.3522242,0.00331303,0.42976716
121.3242556,11,513465.4584,434029.8742,2477.511281,1674.51963,22.10765392,38.59240709,0.00331303,0.286503418
125.3683974,11,513465.4584,425554.4514,1570.767238,1819.377125,22.10765392,65.23168878,0.00331303,0.006393085
129.4125393,11,537991.7079,425554.4514,906.3330779,1674.51963,14.29754776,38.59240709,0.00331303,0.006393085
133.4566811,11,537991.7079,469194.2752,562.1778272,1819.377125,14.29754776,47.47187167,0.00331303,0.006393085
137.500823,11,490980.951,469194.2752,399.4618035,1628.930975,8.049687714,47.47187167,0.00331303,0.006393085
141.5449648,11,490980.951,478037.7373,308.5876018,1485.438168,3.816580614,56.3522242,0.00331303,0.006393085
145.5891067,11,511465.2986,436103.5364,244.7769979,1391.00784,3.816580614,56.3522242,0.00331303,0.006393085
149.6332485,11,518467.1967,478037.7373,236.4052454,1445.60921,3.816580614,82.99239384,0.00331303,0.006393085
153.6773904,11,518467.1967,436103.5364,220.5996979,1437.645038,3.816580614,65.23168878,0.00331303,0.006393085
157.7215322,11,518467.1967,442604.4592,206.1974846,1437.645038,3.816580614,65.23168878,0.00331303,0.006393085
161.7656741,11,515465.9062,433269.5935,203.643117,1087.735012,11.17355527,65.23168878,0.00331303,0.006393085
165.8098159,11,515465.9062,442604.4592,176.2583485,1051.438522,11.17355527,65.23168878,0.00331303,0.006393085
169.8539578,11,515465.9062,433269.5935,176.2583485,792.008487,4.925820155,65.23168878,0.00331303,0.006393085
173.8980996,11,543002.6398,439027.8501,208.75211,792.008487,3.816580614,65.23168878,0.00331303,0.143251136
177.9422415,11,490481.6764,424789.7603,234.3127725,868.9864944,3.816580614,65.23168878,0.11171633,1.146062951
181.9863833,11,467537.3749,428073.2607,367.4194532,1285.28747,8.049687714,65.23168878,0.11171633,1.432590435
186.0305252,11,467537.3749,428073.2607,402.2704066,1658.561694,8.049687714,65.23168878,0.11171633,1.432590435
190.074667,11,543002.6398,439155.6869,406.0156773,1658.561694,8.049687714,56.3522242,0.00331303,0.006393085
194.1188089,11,543002.6398,491539.809,406.0156773,1601.585949,8.049687714,29.71294251,0.00331303,0.006393085
198.1629507,11,495474.8065,497915.101,411.8688237,1537.804842,3.816580614,29.71294251,0.00331303,0.006393085
202.2070926,11,495474.8065,497915.101,449.3613647,1601.585949,3.816580614,47.47187167,0.00331303,0.006393085
206.2512344,11,548516.7809,450698.6379,480.8047628,1669.959937,3.816580614,47.47187167,0.00331303,0.006393085
210.2953763,11,548516.7809,428897.4443,480.8047628,1706.441888,3.816580614,47.47187167,0.00331303,0.006393085
214.3395181,11,545508.7535,428897.4443,481.5091567,1669.959937,3.816580614,47.47187167,0.00331303,0.006393085
218.38366,11,498471.5291,436769.0653,461.5585885,1665.400424,3.816580614,91.87274636,0.00331303,0.006393085
222.4278019,11,545508.7535,468676.4338,413.0396077,1665.400424,3.816580614,91.87274636,0.00331303,0.006393085
226.4719437,11,530478.8656,483275.9163,363.4462567,1760.044364,3.816580614,118.512916,0.00331303,0.006393085
230.5160856,11,531480.3514,468676.4338,363.4462567,1778.297526,3.816580614,154.0352141,0.00331303,0.006393085
234.5602274,11,530478.8656,438792.0589,391.0379474,1760.044364,3.816580614,154.0352141,0.00331303,0.006393085
238.6043693,11,527474.9455,426863.4526,391.0379474,1703.021129,4.925820155,154.0352141,0.00331303,0.006393085
242.6485111,11,527474.9455,438792.0589,374.4325133,1703.021129,4.925820155,154.0352141,0.00331303,0.006393085
246.692653,11,544005.0085,429983.8871,354.1000852,1984.976565,4.925820155,154.0352141,0.00331303,0.006393085
250.7367948,11,544005.0085,439481.8188,342.4223132,2704.804814,3.816580614,162.9164545,0.00331303,0.006393085
254.7809367,11,533984.3635,429983.8871,354.1000852,2914.213858,3.816580614,162.9164545,0.00331303,0.006393085
258.8250785,11,523470.7584,423035.6128,428.9677867,3190.907245,3.816580614,216.2021215,0.00331303,0.006393085
262.8692204,11,496973.1102,423035.6128,489.258982,3278.657679,3.816580614,233.9637145,0.00331303,0.006393085
266.9133622,11,496973.1102,423879.6471,532.2788743,3278.657679,4.925820155,233.9637145,0.00331303,0.006393085
270.9575041,11,507465.9194,423879.6471,577.2584747,3278.657679,3.816580614,287.2529332,0.00331303,0.006393085
275.0016459,11,570596.1375,423879.6471,753.9531394,3690.537742,4.925820155,296.1350617,0.00331303,0.006393085
279.0457878,11,570596.1375,445982.7416,766.5371239,3690.537742,3.816580614,313.8984305,0.00331303,0.006393085
283.0899296,11,510965.3138,445982.7416,815.0323744,3468.228066,3.816580614,393.8375863,0.00331303,0.006393085
287.1340715,11,510965.3138,412193.4198,971.8536683,2998.308515,3.816580614,393.8375863,0.00331303,0.006393085
291.1782133,11,497972.0817,412193.4198,1006.116448,2998.308515,15.85954401,384.9554579,0.00331303,0.006393085
295.2223552,11,550522.4492,459390.0314,1378.800241,2998.308515,15.85954401,367.1903131,0.00331303,0.006393085
299.266497,11,531981.1519,466415.4129,1378.800241,2552.002213,15.85954401,349.4260563,0.00331303,0.006393085
303.3106389,11,550522.4492,467905.1255,988.6198719,2552.002213,14.29754776,349.4260563,0.00331303,0.006393085
307.3547807,11,531981.1519,478939.0574,839.5532857,2673.769292,8.049687714,358.3081847,0.00331303,0.006393085
311.3989226,11,551525.3937,478939.0574,839.5532857,2892.335588,8.049687714,367.1903131,0.00331303,0.006393085
315.4430644,11,554033.2061,441683.3178,1214.607978,2956.830024,8.049687714,367.1903131,0.00331303,0.006393085
319.4872063,11,554033.2061,441683.3178,1873.602358,3245.166386,18.9835365,251.7270834,0.00331303,0.006393085
323.5313481,11,554033.2061,453633.98,1873.602358,3245.166386,18.9835365,251.7270834,0.00331303,0.006393085
327.57549,11,514465.6487,462977.6689,1854.755805,2457.888211,12.73555152,296.1350617,0.00331303,0.006393085
331.6196319,11,532982.6953,458878.777,1854.755805,2455.593524,9.611559029,322.780559,0.00331303,0.006393085
335.6637737,11,513465.4584,485688.9756,2041.348353,2455.593524,4.925820155,331.6617994,0.00331303,0.006393085
339.7079156,11,511965.3409,466891.4382,2346.017804,2562.336084,6.48769147,376.0733295,0.00331303,0.006393085
343.7520574,11,510965.3138,485688.9756,2699.004897,2626.656303,6.48769147,376.0733295,0.00331303,0.006393085
347.7961993,11,510965.3138,466891.4382,2699.004897,2626.656303,6.48769147,358.3081847,0.00331303,0.006393085
351.8403411,11,541499.1251,473240.2925,2225.026249,2626.656303,3.816580614,340.5439279,0.00331303,0.006393085
